MINN.HUB
Day Ahead, Real Time, NN Output, Profit/Loss

Day1
25.67, 25.23, -0.000391861, 0.44
23.07, 21.72, 4.2896e-05, 1.35
22.83, 22.95, 0.00055147, -0.12
22.76, 21.54, -2.96309e-05, 1.22
23.46, 26.41, -1.31795e-05, -2.95
28.82, 25.57, 1.76408e-05, 3.25
36.73, 24.02, 0.00021189, 12.71
43.16, 29.26, -2.36123e-05, 13.9
46.33, 34.77, -0.00018517, 11.56
47.45, 36.74, -0.000493769, 10.71
48.49, 42.44, -4.69592e-05, 6.05
48.94, 72.27, -0.000287498, -23.33
48.02, 36.98, 0.000410109, 11.04
48.53, 40.46, 0.000200095, 8.07
48.78, 49.15, 0.000503587, -0.37
48.09, 50.45, -8.52393e-05, -2.36
43.11, 50.44, -1.0924e-05, -7.33
38.72, 49.8, -0.000310726, -11.08
37.72, 46.54, 0.000133916, -8.82
44.87, 33.2, -0.000115232, 11.67
48.29, 49.54, -0.00055292, -1.25
39.11, 29.19, -0.000173191, 9.92
30.2, 25.88, 0.000283606, 4.32
27.35, 28.28, -0.000434775, -0.93

Day2
24.47, 22.51, -0.000136215, 1.96
22.85, 22.98, 9.07175e-06, -0.13
22.68, 23.2, 0.000193681, -0.52
22.55, 22.48, -5.19689e-06, 0.07
22.8, 24.04, -1.06876e-05, -1.24
27.26, 56.5, -1.0356e-05, -29.24
35.35, 22.35, 0.000104702, 13
42.5, 27.91, -1.26397e-05, 14.59
42.4, 29.51, -7.5187e-05, 12.89
45.05, 33.2, -0.000182753, 11.85
46.87, 31.96, 6.94546e-06, 14.91
46.41, 32.51, -0.000114483, 13.9
47.19, 31.15, 0.000158855, 16.04
47.94, 29.14, 8.23739e-05, 18.8
49.02, 30.08, 0.000170381, 18.94
47.25, 20.16, -5.57733e-05, 27.09
45.85, 23.85, -2.92784e-05, 22
41.08, 20.54, -0.000148253, 20.54
36.83, 23.83, 5.63922e-05, 13
43.49, 24.84, -3.08501e-05, 18.65
45.93, 22.89, -0.000191975, 23.04
37.25, 21.7, -5.99502e-05, 15.55
29.91, 17.53, 0.000110623, 12.38
25.22, 11.83, -0.000177832, 13.39

Day3
23.18, 6.31, -2.68581e-05, 16.87
22.21, 14.31, 1.78531e-06, 7.9
21.9, 2.6, 3.819e-05, 19.3
